number,subjID,cond,age,gender,eth,inc,house,edu
861,6mGGovzyvCUQU6EPVadSTQ**,10,37,f,white/caucasian,10,5,4
989,6mGGovzyvCUqurCEu7jpig**,5,25,f,african american,5,2,3
456,6mGGovzyvCUqW6GZTEFkpA**,1,31,f,white,2,2,4
683,6mGGovzyvCUqxvwNO21Vgg**,0,38,f,Black,11,4,6
228,6mGGovzyvCUQYSIojWRFXw**,0,52,f,white,9,4,5
594,6mGGovzyvCUQZYrkHYUyww**,6,57,m,caucasian,9,2,3
477,6mGGovzyvCUR6vDtiTs69Q**,10,31,m,White,2,2,6
933,6mGGovzyvCUR87ulApZC2g**,10,54,m,white,1,2,4
923,6mGGovzyvCURfC7yKsVA7g**,11,45,f,white,4,2,6
242,6mGGovzyvCUr-FCwbKC-NQ**,2,50,f,caucasian,8,4,4
493,6mGGovzyvCURGjAQrYcCRQ**,2,36,f,filipino,11,4,4
141,6mGGovzyvCURi05Ta9DR_g**,8,4,f,african american,0,2,2
500,6mGGovzyvCUrJI0ZOdfTgg**,9,34,f,White,3,4,1
885,6mGGovzyvCURKcswhnfieg**,9,47,m,black,2,4,2
109,6mGGovzyvCUrKr6uMdVEXQ**,2,68,m,white,7,2,4
790,6mGGovzyvCUrKzV9I9Q8uQ**,10,23,f,other,9,5,5
860,6mGGovzyvCUrl43ANsMasQ**,8,22,m,White,0,1,2
115,6mGGovzyvCUrmcvKnkZl7Q**,7,50,f,caucasin,10,4,5
914,6mGGovzyvCURohfhEnpo9Q**,3,23,f,White,3,2,2
856,6mGGovzyvCURsrPjpLPzGQ**,4,46,f,white,7,2,1
902,6mGGovzyvCUrtJ3FT-LJqQ**,3,37,m,White,8,2,4
99,6mGGovzyvCUrW--4hcl0wQ**,2,36,f,Asian,7,4,3
594,6mGGovzyvCURx7UqDi2Mnw**,7,55,f,white,1,1,2
95,6mGGovzyvCUrxbUVT_YixQ**,10,31,f,white,3,4,1
932,6mGGovzyvCURZeZMY_uRDQ**,9,21,m,Hispanic,2,2,1
759,6mGGovzyvCUS2C4V0yQcEg**,4,26,f,White,4,4,5
859,6mGGovzyvCUs91yAwt2Kug**,7,53,m,Black,6,2,3
297,6mGGovzyvCUsc_Znh3N3Rw**,9,22,f,Black,7,4,4
600,6mGGovzyvCUsce8a-_V3fQ**,1,51,f,Caucasian,2,3,4
336,6mGGovzyvCUSdqMNPTBAtg**,1,44,m,White,10,4,4
201,6mGGovzyvCUShsF1QF8JXA**,8,23,m,White,5,2,4
284,6mGGovzyvCUSje3WvTmcHg**,9,56,f,AA,7,2,4
375,6mGGovzyvCUSJMTzKfuUeg**,4,26,f,white,4,2,4
349,6mGGovzyvCUskC5TNZ5avw**,2,37,m,white,10,4,6
832,6mGGovzyvCUSKHuhV-WTXA**,4,52,f,caucasian,8,2,4
518,6mGGovzyvCUskzKlX83eeA**,2,40,f,Black,4,3,4
722,6mGGovzyvCUsLdlZNPvW0A**,2,58,f,white,2,1,1
273,6mGGovzyvCUsN4oMLnlZeQ**,9,51,m,white,4,1,1
294,6mGGovzyvCUSRw89KmAlkw**,7,45,m,WHITE,2,4,3
668,6mGGovzyvCUSS9_i4_5KqQ**,9,28,f,white,11,3,4
796,6mGGovzyvCUSXssshcdYoA**,4,36,f,white,9,3,2
654,6mGGovzyvCUsYnsS0NV-KQ**,7,49,m,White,4,3,2
515,6mGGovzyvCUsZVgkef7H7Q**,0,56,m,white,10,3,3
787,6mGGovzyvCUT2v-VKs93Vg**,8,36,f,Asian (Pakistani),3,2,4
152,6mGGovzyvCUt5FQpUsN_lA**,9,42,m,Black,0,1,5
572,6mGGovzyvCUt6ail8SBaeA**,8,30,m,White,11,2,6
791,6mGGovzyvCUt6P4LuZracA**,0,53,f,black,2,2,5
117,6mGGovzyvCUtaiewgbbR7w**,10,34,m,White,0,2,2
312,6mGGovzyvCUtE0l6Snt0rA**,1,38,m,White,10,3,2
381,6mGGovzyvCUTFyOEnWgIeg**,10,22,m,white,1,1,1
64,6mGGovzyvCUTgqqKer0sNA**,3,54,f,caucasian,10,4,4
972,6mGGovzyvCUthm0RBJZo9w**,1,39,m,Human,1,1,2
300,6mGGovzyvCUtiSqGOcrkBw**,1,54,f,white,7,3,3
862,6mGGovzyvCUTLItJSZ5yog**,11,57,m,white,7,3,2
791,6mGGovzyvCUTnqOzMKHqSQ**,11,29,f,white,6,5,3
841,6mGGovzyvCUTPHv585ndpA**,1,24,f,African American,3,4,4
670,6mGGovzyvCUTSz4ZZ93tzw**,10,29,m,white,5,2,2
334,6mGGovzyvCUTtuDA7Dn3Yw**,10,31,m,White,11,1,1
573,6mGGovzyvCUTyv-hYJxqBg**,9,40,f,White,1,1,4
810,6mGGovzyvCUU1Styqya_dw**,7,56,m,White,2,1,3
702,6mGGovzyvCUu37TSFWtK4A**,6,52,f,white,0,2,0
216,6mGGovzyvCUu4OaxyVpJtQ**,0,19,m,white,9,4,2
178,6mGGovzyvCUU5fMCTYijPw**,10,33,f,Asian,8,1,6
295,6mGGovzyvCUUa9Zz9dVjrg**,8,24,m,brazil,5,4,3
659,6mGGovzyvCUuCLJS2KTjyA**,0,35,m,White,5,5,6
871,6mGGovzyvCUudqgKUS5SKw**,8,51,f,white,1,1,3
949,6mGGovzyvCUUg4QihQFcjQ**,1,44,m,hispanic,4,1,4
153,6mGGovzyvCUug6a2Vu8E5g**,10,26,m,White,11,5,4
395,6mGGovzyvCUUnwycBKXWCQ**,11,39,f,caucasian,5,5,2
192,6mGGovzyvCUusG80LLwujQ**,11,51,m,White,11,3,5
861,6mGGovzyvCUUsYde3E9IrQ**,9,52,f,white,10,1,2
943,6mGGovzyvCU-uTr7BYH1zQ**,7,55,f,White,3,2,1
645,6mGGovzyvCUuvzCLOuP-gw**,10,25,m,asian,10,3,6
924,6mGGovzyvCUV_ubWX4x8IQ**,1,47,f,White,11,2,6
680,6mGGovzyvCUv66x5Fxmqng**,9,59,m,american indian,1,2,2
268,6mGGovzyvCUV9wIs2PTGKQ**,5,57,f,white,7,3,2
314,6mGGovzyvCUVdzf1rDejPw**,2,29,f,Cuba,9,4,4
723,6mGGovzyvCUvFRj20X9Bgg**,3,18,f,hispanic,0,2,0
722,6mGGovzyvCUVgW-ABbT8eA**,3,54,f,caucasian,8,2,6
905,6mGGovzyvCUvHFKTQVi-EA**,6,58,f,White,6,1,3
675,6mGGovzyvCUviXy1Ak3mCg**,4,57,m,white,6,1,2
337,6mGGovzyvCUvnysLOtWbWg**,1,26,f,White,2,3,1
216,6mGGovzyvCUvR_2wTWZBMg**,1,44,m,White,4,5,4
805,6mGGovzyvCUVr8Mip2kasw**,1,28,f,White/Caucasian,1,2,2
716,6mGGovzyvCUvtBTD2xmCNA**,8,59,f,Native American,3,2,2
808,6mGGovzyvCUvUAlitgZ0XA**,5,31,f,white,4,1,6
390,6mGGovzyvCUVuGUxEHK4og**,6,29,f,white,3,4,3
713,6mGGovzyvCUVV7bsPd4e-w**,6,27,f,white,3,3,3
522,6mGGovzyvCUw4P4YYQ4sjg**,7,38,m,asian,3,2,2
199,6mGGovzyvCUWaRqmFras6w**,6,50,f,white,4,1,6
118,6mGGovzyvCUWBZcL5zetqw**,10,31,f,caucasion,2,2,0
979,6mGGovzyvCUWC4PSflbmew**,7,31,m,white,5,2,5
940,6mGGovzyvCUwfBKQ8rmgqw**,4,41,f,white,5,3,5
904,6mGGovzyvCUwHanwnjJHSQ**,4,51,m,white,2,2,6
116,6mGGovzyvCUWjb0OyJmJ8g**,8,46,f,white,6,3,3
804,6mGGovzyvCUWkPDD-O2-vg**,1,51,m,WHITE,11,3,3
158,6mGGovzyvCUWkUr_3bBYSg**,1,45,f,mixed,7,1,4
212,6mGGovzyvCUwmCvoenRdEQ**,7,28,m,Hispanic,4,3,4
308,6mGGovzyvCUWPbiXz9KJCg**,8,47,f,White,3,3,2
301,6mGGovzyvCUWqKDnFjhT9Q**,2,41,m,White,11,2,6
708,6mGGovzyvCUWWe_aE4c-lA**,0,34,f,Caucasian,6,2,4
958,6mGGovzyvCUwXFMJcG_iPQ**,10,37,m,asian/white,8,5,4
661,6mGGovzyvCUwXWUqT_PfvQ**,2,25,m,white,2,2,4
161,6mGGovzyvCUx0R82YiPduw**,4,58,f,caucasian,4,2,3
984,6mGGovzyvCUX1mIvKKFryA**,1,58,m,White,11,3,4
543,6mGGovzyvCUx521wiJa8Kw**,4,23,f,white,1,2,2
602,6mGGovzyvCUx7bFwgnLTbA**,2,33,f,White,5,5,2
592,6mGGovzyvCUXBa06orxLYw**,5,26,m,Hispanic,4,1,4
574,6mGGovzyvCUxbltUcWWFwg**,11,59,m,w,4,1,4
167,6mGGovzyvCUXC1uWM4iq2w**,0,44,m,white,10,3,5
551,6mGGovzyvCUxD2bTfbQ9fQ**,11,31,f,caucasian,10,2,4
975,6mGGovzyvCUXEFu_PEQLnA**,3,25,f,hispanic,3,3,2
299,6mGGovzyvCUXETNZOQdApw**,0,33,m,White,1,2,5
829,6mGGovzyvCUxf25c_hbV6w**,2,52,f,African America,10,1,6
489,6mGGovzyvCUxJOGnxOuBrw**,9,33,f,Caucasian,6,4,3
640,6mGGovzyvCUxNSPGamOJyw**,5,26,m,Asia,2,3,4
721,6mGGovzyvCUXRd5wYWne1w**,1,59,m,white,3,1,3
455,6mGGovzyvCUxrnfemolE_g**,11,36,f,White,5,3,4
172,6mGGovzyvCUxv11tmWKb6A**,4,42,f,Asian,5,4,4
563,6mGGovzyvCUXV3pHanofTQ**,11,23,f,CHINESE,4,1,4
367,6mGGovzyvCUxvYRKOo-XYg**,8,44,m,white,11,3,5
761,6mGGovzyvCUy_5jNN9dOyg**,6,59,m,White,11,3,6
186,6mGGovzyvCUY_CTBLsSvwQ**,6,34,f,white,3,7,1
612,6mGGovzyvCUy0cO35XRWxg**,1,59,f,Caucasian,5,3,4
366,6mGGovzyvCUy0FElldGE8g**,7,25,f,white,9,4,1
69,6mGGovzyvCUY7zN4s7vFRA**,8,34,f,white,4,4,3
758,6mGGovzyvCUY-bEzeZKBfQ**,3,28,f,white,6,2,3
603,6mGGovzyvCUyBxyFERABgg**,4,37,f,White,7,2,4
996,6mGGovzyvCUYcYKlYcCoCw**,1,52,m,white,1,1,1
150,6mGGovzyvCUydgBM1gLa1Q**,6,31,f,White,5,2,2
196,6mGGovzyvCUYe-BejruECQ**,5,21,m,African-American Indian,1,4,1
301,6mGGovzyvCUYfhCLWadnnw**,2,47,m,white,3,3,1
85,6mGGovzyvCUYfHp9jrHopA**,0,54,f,white,10,2,1
393,6mGGovzyvCUyFiv10vU1rw**,10,57,m,White,3,2,2
713,6mGGovzyvCUYj1U0fSYR1w**,5,44,m,white,9,1,6
849,6mGGovzyvCUyKlti7HPHQw**,10,22,f,African American,0,2,3
114,6mGGovzyvCUYLUWHjvqwcg**,5,28,m,asia,4,2,5
961,6mGGovzyvCUyMdwokIOUgg**,2,41,m,asian,8,8,3
547,6mGGovzyvCUYn4iFLNZ4xg**,7,37,f,Caucasian,11,2,5
343,6mGGovzyvCUyTFT38kqLOg**,8,39,m,white,11,4,6
181,6mGGovzyvCUYvzqncjvJWg**,0,54,m,White,2,2,2
265,6mGGovzyvCUyZowZhcUoJw**,2,59,m,finnish jew,2,1,6
171,6mGGovzyvCUZ_Psw1zJFBQ**,4,38,m,white,4,1,6
140,6mGGovzyvCUz5FxxJTi9Ng**,9,36,m,White,1,4,0
799,6mGGovzyvCUz6DndvlM8cw**,7,27,f,Caucasian,3,3,2
612,6mGGovzyvCUZ70mGj7KjhA**,0,24,f,White,0,2,0
674,6mGGovzyvCUz90em2uQ6Zw**,3,45,f,black,9,4,6
566,6mGGovzyvCUzB7ps19i0SA**,3,58,m,black,9,1,6
779,6mGGovzyvCUzCRUqM_6G3Q**,0,40,f,African American,3,3,4
993,6mGGovzyvCUZiHlskc0-_Q**,10,46,m,white,9,4,6
403,6mGGovzyvCUZMQJn0Y4uxg**,8,19,m,Caucasian,0,2,2
720,6mGGovzyvCUZorbjpuN_Eg**,0,45,f,white,0,3,2
299,6mGGovzyvCUzQge5Eqgj-A**,11,58,m,Afro-American,6,4,4
560,6mGGovzyvCUzrEX18TNzXQ**,9,36,m,white,9,3,4
744,6mGGovzyvCUZRrOYds5cGw**,1,29,m,blk,0,3,2
195,6mGGovzyvCUZrtEgWjGIvA**,4,23,m,Black/ African-American,10,3,3
421,6mGGovzyvCUzvCc7pEYmkA**,1,54,f,Caucasion,5,3,4
356,6mGGovzyvCUz-YbmWoAeIQ**,9,21,m,A-A,3,6,1
40,6mGGovzyvCUzZ2fAT6WBMQ**,3,58,m,Black,2,1,3
580,6mGGovzyvCUzzEgZP6woUA**,4,52,f,White,3,1,4
175,6mGGovzyvCV_CLTirOOqpQ**,7,37,f,Caucasian,6,3,4
419,6mGGovzyvCV_dMEmXfBlNw**,0,30,f,Native American,3,5,1
846,6mGGovzyvCV_FPAgfoSuKw**,6,58,f,white,5,3,6
723,6mGGovzyvCV_MjgNmQRpcQ**,4,52,m,white,6,5,2
226,6mGGovzyvCV_nYPlbiAvbQ**,10,53,m,certainly,10,4,6
323,6mGGovzyvCV01wzJvkgr6g**,0,27,f,White,5,3,4
137,6mGGovzyvCV08Q1x7Ka0kQ**,5,54,f,white,6,3,3
646,6mGGovzyvCV0bfKk_MpHMQ**,10,31,f,white,8,3,4
329,6mGGovzyvCV0BNANRoO54Q**,6,48,m,white,1,2,0
604,6mGGovzyvCV0K3uqkpH1lQ**,4,56,f,white,3,2,2
176,6mGGovzyvCV0kClj8LGcLg**,8,58,m,white,10,5,4
454,6mGGovzyvCV0KUJQGKZUWw**,11,34,f,white,2,6,1
229,6mGGovzyvCV0rSFmcNGsWg**,1,56,f,White,11,2,2
94,6mGGovzyvCV0RWa__Gg29Q**,9,49,f,caucasian,7,1,6
331,6mGGovzyvCV0Ss368WySIg**,7,23,f,White,8,4,1
121,6mGGovzyvCV0t9n98iKwQQ**,0,40,f,white,8,4,4
110,6mGGovzyvCV0uimTJrZSyA**,2,29,f,white,10,3,5
852,6mGGovzyvCV0UxKyLgAVwQ**,1,39,f,African American,4,5,3
450,6mGGovzyvCV101gBoxbuPA**,6,46,f,black,2,2,2
147,6mGGovzyvCV13u0ZVaBTWg**,4,31,m,white,7,2,4
369,6mGGovzyvCV17RrN60Mkqg**,10,23,f,White,5,4,1
140,6mGGovzyvCV1bAwyA54Q5w**,8,55,m,white,0,1,3
588,6mGGovzyvCV1Ei6dSVkYwg**,1,54,f,caucasion,4,2,2
587,6mGGovzyvCV1guWDiR9WEA**,11,25,m,White,3,1,2
271,6mGGovzyvCV1iWyThGTRmg**,8,24,m,Spanish,2,4,4
330,6mGGovzyvCV1kMkmRVaagQ**,6,46,f,white,7,2,4
319,6mGGovzyvCV1Lb0R9tOM7Q**,8,43,f,whit,2,3,3
930,6mGGovzyvCV1Oig0uNgI9A**,7,41,m, white,3,2,1
109,6mGGovzyvCV1Q_UXYPZpAg**,0,38,f,Black,5,3,1
394,6mGGovzyvCV1RQjssy4r3A**,11,36,f,White,9,7,1
567,6mGGovzyvCV1S4cpfVSctg**,3,36,f,Black,10,5,2
871,6mGGovzyvCV26WQWn7PM3Q**,7,55,m,white,2,1,2
468,6mGGovzyvCV2dYJnZkpzJQ**,1,48,f,Caucasian and Hispanic,1,1,4
142,6mGGovzyvCV2Fa8dkgVLUA**,11,31,m,Caucasion,10,2,6
896,6mGGovzyvCV2FdXEjiZTJQ**,8,54,m,Caucasians,11,2,4
876,6mGGovzyvCV2iHga4sZfXg**,0,27,f,hispanic,5,5,4
264,6mGGovzyvCV2QzGXxxbp7w**,0,41,f,african american,4,8,3
932,6mGGovzyvCV2W_VFFep8rQ**,8,22,m,African American,2,2,2
999,6mGGovzyvCV3CAjYKhY_HA**,3,50,f,White,8,2,1
676,6mGGovzyvCV3CVaN_UWDlA**,4,31,m,White,3,7,0
187,6mGGovzyvCV3HT-EbdOh_A**,8,32,m,White,10,2,6
482,6mGGovzyvCV3kbDuCBCwGg**,2,39,f,White,5,2,4
658,6mGGovzyvCV3LRHQWUlD9Q**,11,37,f,Asian American,8,4,4
272,6mGGovzyvCV3RyCYP_ic-A**,9,34,m,white,9,2,6
978,6mGGovzyvCV3VQ9X81L_Kw**,6,40,m,white,6,4,1
98,6mGGovzyvCV3Vwkto0Syzw**,1,47,m,Caucasian,6,1,6
990,6mGGovzyvCV3XDdj2SyBYw**,7,33,m,Wooster,3,3,2
84,6mGGovzyvCV3Z6ZEnGmGAg**,11,30,f,white,4,3,2
548,6mGGovzyvCV41_NhZXZWqQ**,9,51,f,white,5,4,1
564,6mGGovzyvCV49Eg9DRPklg**,1,43,m,white,10,4,4
294,6mGGovzyvCV4fn_s4G1vXA**,7,21,m,black,2,1,2
417,6mGGovzyvCV4fskDQtbEKg**,9,46,m,White,4,1,4
449,6mGGovzyvCV4g6_1nBxfqQ**,6,38,f,white,7,3,4
974,6mGGovzyvCV4M8TiGpFlxA**,3,40,m,Black,2,2,4
221,6mGGovzyvCV4m9TxCLKvFA**,5,53,f,white,1,1,1
251,6mGGovzyvCV4rcahOahFaw**,0,39,m,white,10,5,4
564,6mGGovzyvCV5gU9_QR7WlQ**,0,37,m,white,6,1,2
789,6mGGovzyvCV5hh-DFheSSQ**,10,34,f,white,5,4,4
614,6mGGovzyvCV5l_7VSywe2A**,2,54,f,Black,5,1,6
608,6mGGovzyvCV5lldzSBP5MA**,9,58,f,white,10,2,2
482,6mGGovzyvCV5WyHB2STM8g**,3,30,f,white,10,2,4
171,6mGGovzyvCV5YcyvpHqLug**,3,58,m,white,6,2,4
122,6mGGovzyvCV65hOTOQ4uBQ**,3,40,m,Caucasian,11,4,4
291,6mGGovzyvCV6AaAhU1a3Rw**,4,37,m,Asian,10,1,6
308,6mGGovzyvCV6ng9PjdQ1hQ**,9,24,m,White,7,5,4
883,6mGGovzyvCV6qAJFV9Fa4A**,7,33,m,Asian,0,1,2
154,6mGGovzyvCV6sNtkdEy-dw**,9,51,m,caucasian,5,3,4
25,6mGGovzyvCV6T9eHPbX_pQ**,0,43,f,WHITE,1,2,5
669,6mGGovzyvCV6t-HufSBAIg**,10,23,m,white,3,3,1
705,6mGGovzyvCV7Dr9eeEKY_Q**,10,33,f,White,5,4,3
284,6mGGovzyvCV7FitchGMFwA**,8,37,m,Caucasian,3,1,3
379,6mGGovzyvCV7KkYRVoWKLg**,8,22,f,Mexican American,3,7,3
944,6mGGovzyvCV7nZHcjekUzA**,8,56,m,white,4,2,1
724,6mGGovzyvCV7qz0fZ5J2kw**,4,44,f,Caucasian,11,3,5
780,6mGGovzyvCV7yD5CRLE_xA**,1,47,m,caucasian,10,4,4
681,6mGGovzyvCV7ZLT1rqEcQw**,10,49,f,white,6,3,1
227,6mGGovzyvCV815xQb49aXg**,0,29,m,White,10,2,6
634,6mGGovzyvCV8CXrvYRiGUA**,10,28,m,Caucasian,6,2,4
635,6mGGovzyvCV8DI3nBgv3JQ**,11,34,f,white,0,4,1
882,6mGGovzyvCV8dibBnNbHlQ**,6,32,m,African American ,7,4,4
340,6mGGovzyvCV8lm00pl0e7A**,5,23,m,hispanic,3,4,3
605,6mGGovzyvCV8M0v1hFEhyA**,6,19,f,asi,2,5,2
383,6mGGovzyvCV8qQpr7eNwEQ**,11,38,m,White,0,3,2
169,6mGGovzyvCV8rKYFtHc5UA**,2,44,m,Asian/Caucasian ,0,1,3
76,6mGGovzyvCV8UjNUEENkYg**,3,47,f,white,2,2,1
243,6mGGovzyvCV8UsQLabrWSA**,3,25,f,Caucasian,2,1,5
947,6mGGovzyvCV8ZbIFeMRCWg**,11,31,m,Hispanic,6,2,3
766,6mGGovzyvCV98KE8rSyVpA**,11,45,f,white,10,2,6
986,6mGGovzyvCV9ANzuuPDgSg**,2,58,f,white,8,2,4
288,6mGGovzyvCV9dmVu-dpGDg**,0,29,f,asian,10,4,4
610,6mGGovzyvCV9ezzFjxRCYw**,11,59,m,Caucasion,6,2,1
742,6mGGovzyvCV9TofM9PIihA**,10,55,f,white,1,4,2
445,6mGGovzyvCVA_BimOH-idQ**,1,23,f,mixed,5,2,5
687,6mGGovzyvCVA2KGDnwuF6g**,3,30,f,caucasion,9,4,4
252,6mGGovzyvCVa2qxAOKylNA**,1,43,m,White,11,1,5
369,6mGGovzyvCVa3Cxku_wIsQ**,9,32,m,white,3,3,4
405,6mGGovzyvCVAC9clo-Jwiw**,9,29,f,white,9,4,3
486,6mGGovzyvCVAEceT_4zBYg**,6,45,f,White,5,2,2
316,6mGGovzyvCVAGckNTFPMFg**,4,46,m,White,11,2,6
247,6mGGovzyvCVaH-wJiOnOqQ**,8,29,m,Hispanic,9,4,4
570,6mGGovzyvCVAjUnlJfme2g**,6,21,f,Asian,7,3,4
57,6mGGovzyvCVAKtomC2Q8Cw**,8,62,m,White,8,1,4
595,6mGGovzyvCV-aNKDAgb6zQ**,7,45,f,Hispanic,3,1,3
699,6mGGovzyvCVAOg3rEV-41Q**,4,40,m,White,7,2,2
130,6mGGovzyvCVaO-RqYMHadQ**,10,57,m,African American,5,2,4
132,6mGGovzyvCVAQrXjQjY5CA**,1,36,m,asian,10,2,4
549,6mGGovzyvCVAS51t9W0ZSw**,9,22,f,caucasian,5,3,3
423,6mGGovzyvCVATDqf2lS3aw**,3,52,f,caucasian,5,4,4
441,6mGGovzyvCVAtTcMFHaOXg**,9,48,m,Caucasian,2,1,6
735,6mGGovzyvCVaVIkKunP-4A**,4,56,m,white,5,5,1
636,6mGGovzyvCVAx_osJjUz0w**,1,19,f,WHITE,2,3,2
305,6mGGovzyvCVAZT442lQ07g**,5,57,f,white,3,2,2
105,6mGGovzyvCVb_r2oeZAU1Q**,10,57,m,white,10,1,6
266,6mGGovzyvCVb63NjM5J_Xg**,2,49,m,white ,2,4,1
664,6mGGovzyvCVB6bobvKDY5w**,4,25,m,White,1,1,4
680,6mGGovzyvCVb8qb26Wp1sw**,8,56,m,white,3,2,1
276,6mGGovzyvCVBax7WuAY_Mw**,0,46,m,white,10,2,6
48,6mGGovzyvCVBdsoNavSDZg**,11,19,m,white,2,2,2
628,6mGGovzyvCVBg3tDX54X6w**,5,52,m,white,5,2,2
287,6mGGovzyvCVbKeGjFC6ojA**,0,23,m,Hispanic,2,1,2
480,6mGGovzyvCVBLlapY-tdOg**,0,47,m,white,5,4,2
499,6mGGovzyvCVbllKL65YfMg**,7,29,m,White,3,3,2
623,6mGGovzyvCVbnISUEWkRFA**,0,48,f,white,10,2,4
814,6mGGovzyvCVBnjv-p3f0DQ**,10,45,f,caucasian,6,2,4
248,6mGGovzyvCVbPNPmPQ15TA**,9,31,m,white,11,2,6
753,6mGGovzyvCVbrOztr6pDvQ**,9,23,f,Cucasion,2,3,1
96,6mGGovzyvCVbtCA5QecQcw**,11,49,f,white,2,2,1
211,6mGGovzyvCVBttalwLm1rg**,6,38,m,asian,7,7,2
667,6mGGovzyvCVbUE4GYt7fMQ**,7,49,m,black,7,2,4
341,6mGGovzyvCVBV50xLLQ9nA**,5,28,f,WHITE,4,4,1
501,6mGGovzyvCVBY7bojQqpcQ**,9,30,f,Mixed indians,1,4,2
181,6mGGovzyvCVc0d6I5H656Q**,1,57,f,white,1,1,2
839,6mGGovzyvCVc1kIBQ-Xqrw**,0,36,f,White,10,2,4
341,6mGGovzyvCVC599ddxByPw**,6,18,m,White,10,3,0
13,6mGGovzyvCVC80bHHKPxFA**,0,25,f,White,5,3,4
886,6mGGovzyvCVc8Wvrh1uTHA**,11,51,f,caucasian,7,3,4
926,6mGGovzyvCVcAaB3cw6qnA**,3,43,m,caucasian,11,4,6
444,6mGGovzyvCVcgY4iD7iIuQ**,0,29,m,White,1,1,4
952,6mGGovzyvCVcipXo556hJA**,4,32,f,white,4,8,1
693,6mGGovzyvCVcJlrCTR8RHA**,9,55,f,caucasian,3,3,3
660,6mGGovzyvCVClI0wiDKvBQ**,0,31,m,white,5,4,6
288,6mGGovzyvCVCoBcK87dWRA**,1,40,m,Caucasian,10,1,6
255,6mGGovzyvCVCQsCISarnOQ**,3,43,f,white,3,2,1
225,6mGGovzyvCVcUcXZMTXenA**,9,38,m,white,4,3,1
774,6mGGovzyvCVcuQtK1DbSWA**,7,57,f,Hispanic,2,2,5
485,6mGGovzyvCVcy_e1BJu_Ew**,6,48,m,White,10,3,6
769,6mGGovzyvCVd_5j09WljJw**,2,30,m,White,3,2,3
877,6mGGovzyvCVd_H1rh9CatA**,1,59,m,Black,1,3,3
507,6mGGovzyvCVD0vZD3edtVA**,3,33,f,White,10,2,2
190,6mGGovzyvCVd6mfUvVhe0w**,10,36,f,Caucasian,3,5,2
408,6mGGovzyvCVdfDykkeIR9g**,1,18,m,Mr,0,3,0
304,6mGGovzyvCVdfV_j_gu6fA**,4,55,f,Black,7,1,4
321,6mGGovzyvCVdfX_eO_4bGw**,9,50,m,White,11,1,6
323,6mGGovzyvCVDHGwbOtZHxQ**,11,51,m,white,9,4,2
154,6mGGovzyvCVdIF2itg5yYg**,10,38,m,mixed,6,4,4
879,6mGGovzyvCVDjViEWXNN2w**,3,30,f,Black,4,1,2
362,6mGGovzyvCVDKizdL1gXvw**,3,19,m,White,1,2,2
326,6mGGovzyvCVdLXyRiV9K_A**,3,33,m,black,10,3,3
623,6mGGovzyvCVDmU4pwdcYNw**,11,26,m,Black,5,3,1
837,6mGGovzyvCVdObna0eVUew**,10,49,f,White,1,2,1
589,6mGGovzyvCVdoFmPd8ZObg**,2,45,f,Asian,1,4,5
445,6mGGovzyvCVDpY-aMnIiEw**,2,51,m,white,4,2,1
650,6mGGovzyvCVDQYE_2NbNnA**,2,32,f,White,1,3,2
250,6mGGovzyvCVdsrrB8fdAWA**,10,42,f,white,3,8,1
446,6mGGovzyvCVDyrbESzSc9g**,2,55,m,white,5,2,1
801,6mGGovzyvCVdz7mXY3rRpA**,10,39,m,White,10,5,2
391,6mGGovzyvCVE3juxX9sLtg**,7,59,f,white,2,1,4
910,6mGGovzyvCVeAL5phr-dwQ**,10,26,f,White,7,2,1
400,6mGGovzyvCVeC4zbLwLYYQ**,5,18,m,white,5,3,2
305,6mGGovzyvCVEneV_i08RbA**,6,44,f,white,3,4,4
440,6mGGovzyvCVEOjhzXofnEw**,9,48,f,white,3,2,2
451,6mGGovzyvCVEPQUbs25YTg**,8,24,f,WHITE,2,3,1
934,6mGGovzyvCVEpv59ISWmaA**,11,58,m,White,11,2,6
278,6mGGovzyvCVEQtmlSyt3hQ**,3,35,m,Asian,10,4,6
111,6mGGovzyvCVERdHBGDYf7Q**,3,30,f,white,2,8,4
252,6mGGovzyvCVETb0UGQiGGg**,0,22,f,Cacusain ,0,2,1
534,6mGGovzyvCVf09HcWewgRw**,6,20,f,White,5,2,2
740,6mGGovzyvCV-f1dwJvHNyg**,9,54,f,white,6,5,2
825,6mGGovzyvCVF7q4C8kb6hQ**,10,50,f,white,0,2,2
627,6mGGovzyvCVf8wDbYrpzRg**,3,57,f,white,2,1,2
222,6mGGovzyvCVfcbduf9HGhQ**,6,57,m,white,5,3,2
582,6mGGovzyvCVfDNZNvl7ecg**,7,51,m,Puerto Rican,4,1,4
845,6mGGovzyvCVFDTsdWbHC0A**,6,53,m,White,0,5,3
480,6mGGovzyvCVfdxmJqJ96dA**,1,34,f,white,8,4,3
136,6mGGovzyvCVfeZGK7jziFQ**,5,52,m,white,7,2,4
401,6mGGovzyvCVffxJswWhpfA**,6,56,m,white,1,1,4
204,6mGGovzyvCVfHFtaoV4TEQ**,1,43,m,White/Hispanic,10,4,3
613,6mGGovzyvCVfiAe_QnK9Vg**,2,58,m,White,5,2,6
478,6mGGovzyvCVflJTX6ZQEPQ**,11,42,f,White,1,2,3
409,6mGGovzyvCVFokOAnmBzHw**,1,53,m,white,1,1,5
